PPFD	jp69-4	jp69-6	jp69-1	jp69-8
2000	26.49 	26.47 	30.57 	28.61 
1600	25.40 	25.63 	29.60 	28.25 
1200	23.50 	23.78 	27.99 	26.89 
1000	22.46 	22.73 	26.70 	25.95 
800	20.54 	20.97 	25.36 	24.71 
600	18.16 	18.78 	22.17 	22.13 
400	14.69 	15.39 	17.75 	18.15 
300	12.05 	12.91 	14.50 	15.05 
200	8.67 	9.40 	10.34 	10.97 
150	6.85 	7.25 	7.76 	8.44 
100	4.44 	4.88 	5.24 	5.57 
50	1.98 	2.27 	2.21 	2.55 
0	-1.31 	-1.00 	-1.33 	-1.20 
