file_name,cov_value
abd-chunhe-1,55.171
abd-chunhe-2,105.201
abd-chunhe-3,109.393
abd-chunhe-4,133.795
abd-chunhe-5,80.271
abd-zahe-2,209.196
abd-zahe-3,184.73
abd-zahe-4,142
abd-zahe-5,132.12
abd-zahe-6,130.125
wt-10,69.162
wt-2,106.068
wt-3,70.893
wt-4,88.871
wt-5,91.083
wt-6,108.5
wt-7,86.743
