variety_group,cov_value
9311-DA_group1,1042.4590000000003
9311-DA_group2,1186.9360000000004
9311-DA_group3,1161.2750000000003
9311-DA_group4,1196.0260000000003
9311-DA_group5,1182.7650000000003
9311-DA_group6,1131.3400000000004
9311-F1_group1,1829.6360000000004
9311-F1_group2,1919.5930000000005
9311-F1_group3,1763.9960000000003
9311-F1_group4,1710.4360000000004
9311-F1_group5,1767.4240000000004
9311-F1_group6,1826.9860000000003
9311-xa_group1,1046.1580000000004
9311-xa_group2,1071.9500000000003
9311-xa_group3,1012.1850000000003
9311-xa_group4,1138.5040000000004
9311-xa_group5,1001.2500000000002
9311-xa_group6,1051.0480000000002
jp69_group1,1015.8340000000003
jp69_group2,984.2330000000003
jp69_group3,1010.1640000000002
jp69_group4,1010.1920000000002
jp69_group5,998.9390000000002
jp69_group6,1045.3150000000003
jy5b_group1,711.5210000000002
jy5b_group2,647.2100000000002
jy5b_group3,707.5320000000002
jy5b_group4,655.7570000000002
jy5b_group5,799.6900000000002
jy5b_group6,654.7270000000002
