PPFD	ca1-1	ca1-4	ca1-2	ca1-3
1600	29.31 	24.85 	26.70 	26.14 
1200	27.75 	23.30 	24.94 	24.44 
800	23.90 	20.68 	21.88 	21.63 
500	19.16 	17.29 	18.08 	17.82 
300	13.62 	12.63 	13.55 	13.32 
200	9.36 	8.91 	10.17 	9.59 
100	4.58 	4.53 	5.13 	5.19 
50	1.76 	1.51 	2.36 	2.54 
0	-1.33 	-1.98 	-1.39 	-1.07 
