PPFD	f1-8	f1-3	f1-2	f1-4
2000	35.38 	32.65 	34.56 	31.96 
1600	33.65 	30.78 	32.64 	30.13 
1200	30.72 	27.84 	29.95 	27.74 
1000	28.69 	26.16 	28.23 	26.01 
800	25.97 	23.88 	25.85 	24.03 
600	22.67 	21.19 	22.57 	21.23 
400	17.64 	16.82 	17.71 	17.39 
300	14.72 	13.68 	14.43 	14.24 
200	10.19 	9.58 	10.12 	10.51 
150	8.09 	7.31 	7.84 	8.15 
100	5.19 	4.75 	5.15 	5.46 
50	2.01 	1.84 	2.23 	2.21 
0	-1.73 	-1.35 	-1.68 	-1.68 
