PPFD	CA1-1	CA1-2	CA1-3	CA1-4
1600	26.37 	27.23 	27.48 	22.58 
1200	24.75 	25.27 	25.80 	21.09 
800	22.09 	22.13 	22.58 	18.75 
500	17.80 	18.43 	18.28 	15.69 
300	13.19 	13.64 	13.41 	12.61 
200	9.31 	10.31 	9.74 	9.14 
100	4.36 	5.23 	4.74 	4.88 
50	1.41 	1.95 	1.65 	2.17 
0	-2.25 	-1.31 	-1.54 	-1.08 
