PPFD	ca1-WYJ-0724	ca1-WYJ-0724	ca1-WYJ-0724	ca1-WYJ-0724
2000	21.76 	20.22 	22.26 	25.14 
1600	22.16 	20.18 	21.94 	24.80 
1200	21.16 	19.28 	20.60 	23.42 
1000	20.34 	18.46 	19.64 	21.92 
800	19.28 	16.76 	18.22 	20.26 
600	16.96 	14.96 	16.48 	17.70 
400	13.72 	11.76 	13.00 	14.06 
300	11.28 	9.64 	10.82 	11.56 
200	7.82 	6.68 	7.85 	8.04 
150	5.84 	5.25 	5.90 	6.16 
100	3.79 	3.26 	3.85 	3.89 
50	1.42 	1.37 	1.66 	1.64 
0	-1.21 	-1.23 	-1.18 	-0.92 
