PPFD	ca1-1	ca1-4	ca1-2	ca1-3
1600	26.35 	25.95 	24.51 	23.55 
1200	23.89 	23.67 	22.97 	21.25 
800	20.73 	20.53 	20.17 	18.54 
500	16.48 	16.77 	16.50 	15.43 
300	11.73 	12.05 	11.17 	11.44 
200	8.35 	8.44 	8.40 	8.40 
100	3.95 	4.02 	4.13 	4.41 
50	1.52 	1.06 	1.52 	1.98 
0	-1.60 	-1.17 	-1.37 	-1.34 
