PPFD	F1-1	F1-2	F1-3	F1-4
1600	29.92 	28.64 	31.97 	32.50 
1200	27.50 	26.91 	29.30 	29.31 
800	24.33 	23.44 	25.24 	25.39 
500	20.03 	19.00 	20.10 	20.31 
300	14.42 	13.90 	14.35 	14.73 
200	9.75 	10.17 	10.29 	10.59 
100	4.65 	5.34 	4.85 	5.47 
50	1.57 	2.16 	2.07 	2.19 
0	-1.92 	-1.20 	-1.40 	-1.85 
