PPFD	F1-1	F1-2	F1-3	F1-4
1600	26.95 	25.42 	25.86 	25.93 
1200	25.12 	23.69 	23.26 	24.39 
800	20.99 	20.28 	20.27 	20.91 
500	16.38 	15.81 	16.56 	16.93 
300	11.09 	10.53 	11.89 	12.50 
200	7.02 	6.34 	8.47 	9.10 
100	3.08 	2.81 	4.29 	4.61 
50	0.70 	0.27 	1.83 	2.08 
0	-2.00 	-2.45 	-1.42 	-1.46 
