PPFD	CA1-1	CA1-2	CA1-3	CA1-4
1600	24.83 	26.36 	24.85 	21.84 
1200	22.83 	24.00 	23.28 	20.57 
800	19.89 	20.24 	20.10 	17.68 
500	15.86 	16.40 	15.80 	14.44 
300	11.49 	11.65 	11.78 	10.38 
200	8.14 	8.55 	8.35 	7.08 
100	3.91 	4.03 	3.88 	3.34 
50	1.57 	1.77 	1.29 	1.73 
0	-1.22 	-1.62 	-1.47 	-1.04 
