PPFD	ca1-9	ca1-8	ca1-6	ca1-3
2000	34.45 	34.31 	33.38 	34.01 
1600	32.90 	33.15 	31.48 	32.34 
1200	30.37 	30.16 	28.85 	29.91 
1000	28.56 	28.49 	27.33 	28.34 
800	26.33 	26.19 	24.90 	26.03 
600	23.24 	22.97 	22.30 	22.96 
400	18.47 	18.28 	17.52 	18.49 
300	15.33 	14.98 	14.42 	15.11 
200	11.07 	10.64 	10.21 	10.86 
150	8.34 	8.01 	7.86 	8.38 
100	5.55 	5.04 	4.95 	5.58 
50	2.15 	1.90 	2.07 	2.20 
0	-1.63 	-1.65 	-1.52 	-1.50 
