PPFD	ca1-1	ca1-4	ca1-2	ca1-3
1600	28.95 	30.83 	27.82 	27.27 
1200	27.02 	28.70 	25.60 	25.01 
800	23.45 	24.42 	22.06 	21.37 
500	19.25 	19.49 	17.44 	17.46 
300	13.75 	14.19 	12.82 	12.78 
200	9.59 	10.09 	9.52 	9.19 
100	4.62 	5.11 	4.69 	4.80 
50	1.53 	2.53 	1.47 	2.18 
0	-2.10 	-0.64 	-1.53 	-1.07 
