variety_group,cov_value
169-cap1_group1,584.5620000000001
169-cap1_group2,577.1420000000002
169-cap1_group3,633.0160000000002
169-cap1_group4,625.5890000000002
169-cap1_group5,593.7760000000002
169-cap1_group6,656.2890000000001
169-F1_group1,959.0400000000002
169-F1_group2,1033.1630000000002
169-F1_group3,1072.5120000000002
169-F1_group4,1065.4070000000002
169-F1_group5,994.3820000000003
169-F1_group6,1029.1550000000002
75-cap1_group1,839.2090000000002
75-cap1_group2,727.2930000000001
75-cap1_group3,736.8900000000002
75-cap1_group4,722.4120000000001
75-cap1_group5,819.5190000000002
75-cap1_group6,745.0910000000001
75-F1_group1,644.6360000000002
75-F1_group2,678.0520000000001
75-F1_group3,680.1420000000002
75-F1_group4,728.6320000000002
75-F1_group5,615.4560000000001
75-F1_group6,696.4570000000002
9311-DA_group1,915.9470000000002
9311-DA_group2,909.7490000000003
9311-DA_group3,958.3260000000002
9311-DA_group4,960.3600000000002
9311-DA_group5,963.4640000000003
9311-DA_group6,980.2990000000002
9311-F1_group1,1258.4800000000002
9311-F1_group2,1295.3370000000002
9311-F1_group3,1321.0860000000002
9311-F1_group4,1283.8520000000003
9311-F1_group5,1392.1380000000004
9311-F1_group6,1327.5990000000004
9311-xa_group1,750.1320000000002
9311-xa_group2,815.4700000000001
9311-xa_group3,865.1460000000002
9311-xa_group4,822.7760000000002
9311-xa_group5,821.9510000000002
9311-xa_group6,775.4630000000002
fon_group1,644.0260000000002
fon_group2,600.6860000000001
fon_group3,794.1440000000002
fon_group4,640.4140000000001
fon_group5,732.7680000000001
fon_group6,655.4150000000002
fon-DA_group1,819.9120000000001
fon-DA_group2,766.5850000000002
fon-DA_group3,858.7260000000002
fon-DA_group4,709.6820000000001
fon-DA_group5,779.2930000000002
fon-DA_group6,778.5660000000001
fon-F1_group1,656.6390000000001
fon-F1_group2,556.6860000000001
fon-F1_group3,611.4630000000002
fon-F1_group4,679.8880000000001
fon-F1_group5,641.8050000000002
fon-F1_group6,706.5730000000002
JP69_group1,610.4880000000002
JP69_group2,641.8250000000002
JP69_group3,619.8470000000001
JP69_group4,646.5240000000001
JP69_group5,582.4350000000002
JP69_group6,581.9610000000001
JY5B_group1,473.9300000000001
JY5B_group2,517.6380000000001
JY5B_group3,566.8880000000001
JY5B_group4,479.3890000000001
JY5B_group5,562.4090000000001
JY5B_group6,519.6130000000002
JYY69_group1,1111.1520000000003
JYY69_group2,994.7570000000003
JYY69_group3,1070.4390000000003
JYY69_group4,978.5330000000002
JYY69_group5,1107.5020000000002
JYY69_group6,1042.3860000000002
W-DA_group1,750.5040000000001
W-DA_group2,687.0300000000002
W-DA_group3,710.3770000000002
W-DA_group4,707.8740000000001
W-DA_group5,727.0810000000001
W-DA_group6,734.4350000000002
W-F1_group1,1059.6380000000001
W-F1_group2,1070.2940000000003
W-F1_group3,1046.4080000000004
W-F1_group4,1088.2410000000002
W-F1_group5,1169.0200000000002
W-F1_group6,1044.8390000000002
W-xa_group1,577.2200000000001
W-xa_group2,536.8590000000002
W-xa_group3,502.0990000000001
W-xa_group4,568.0410000000002
W-xa_group5,626.2030000000002
W-xa_group6,546.1570000000002
